ID,Nhóm,Tên Vật Tư,Chu Kỳ (Ngày),Ngày Thay Gần Nhất,Chi Phí (VNĐ),Ghi Chú,Link Mua
15,Nhà Bố Mẹ,Sunhouse SHA8818K - Lõi 1,90,2026-06-06,0.0,Lõi 5 Micron,https://vn.shp.ee/JQvvV49o
16,Nhà Bố Mẹ,Sunhouse SHA8818K - Lõi 2-3,180,2026-06-06,98000.0,Xả nước than hoạt tính tại lõi 2 trước khi gắn lõi 3 (lõi 1 Micron),https://vn.shp.ee/JQvvV49o
17,Nhà Bố Mẹ,Sunhouse SHA8818K - Lõi 5-6-7-8,730,2026-06-06,544620.0,"- RO - Far Infraraed (hoạt hoá)- Mineral (bù khoáng) - Alkaline(tạo kiềm) - Nano (khử khuẩn) - Vòi
- RO - Flow300: là đường nước thải.",https://vn.shp.ee/JQvvV49o
19,Nhà Bố Mẹ,Home - Kojine - Lõi 1-2-3,180,2025-06-01,0.0,,
20,Nhà Bố Mẹ,Home - Kojine - Lõi 5-6-7-8-9-10,730,2025-01-01,0.0,,
21,Nhà Tôi,Toshiba F-1686 - Lõi C-PAC,365,2025-07-31,900000.0,Thay mỗi 12 tháng,https://vn.shp.ee/r6YLzZJ
22,Nhà Tôi,Toshiba F-1686- Lõi RO,730,2024-07-31,544000.0,Thay mỗi 24 tháng,https://vn.shp.ee/r6YLzZJ
39,Nhà Tôi,lõi thô,730,2024-06-12,90000.0,,
40,testgrp,l1,10,Chưa có,0,,
41,testgrp,l2,20,2026-06-10,8888.0,,
43,testgrp,L3,29,2026-06-08,0.0,,
45,Nhà Tôi,lõi thô,180,Chưa có,0,,
46,Nhà Tôi,lõi thô,100,Chưa có,0,,
