ID,Tên Xe,ODO Hiện Tại,Tên Phụ Tùng,Chu Kỳ (Km),Ngày Thay,ODO Lúc Thay,Chi Phí,Ghi Chú,Link Mua
2,Honda AirBlade,51250,Nước làm mát Liqui Moly,20000,2026-06-04,51000,275000.0,,https://shop2banh.vn/nuoc-lam-mat-liqui-moly-loai-khong-pha-804.html
12,Honda AirBlade,51250,Lọc gió,15000,2026-02-08,47000,75000.0,còn 50% vệ sinh.,https://shopee.vn/user/purchase/order/221109677217088?type=9999
16,Honda AirBlade,51250,Nhớt láp Motul Scooter Gear Plus 120ml,15000,2026-02-08,47000,55000.0,,https://shop2banh.vn/motul-scooter-gear-plus-38.html
17,Honda AirBlade,51250,Nhớt Motul Scooter Power LE 5W40 0.8L,2000,2026-06-04,51000,185000.0,,https://shop2banh.vn/motul-scooter-power-le-5w40-08l-34.html
19,Honda Vision,36085,Lọc gió,15000,2026-01-01,25000,95000.0,,https://shopee.vn/user/purchase/order/221109677217088?type=9999
20,Honda Vision,36085,Nhớt láp Motul Scooter Gear Plus 120ml,15000,2026-01-01,25000,55000.0,,
21,Honda Vision,36085,Nhớt Motul Scooter Power LE 5W40 0.8L,2000,2026-04-08,35000,185000.0,,
31,Honda AirBlade,51250,nhớt 1,100,2026-06-10,51250,0.0,,
38,Honda AirBlade,51250,nhot2,1500,2026-06-10,51250,0.0,,
39,xesh,5555,lap1,1000,2026-06-03,5001,0.0,,
40,xesh,5555,nhot2,2000,Chưa có,Chưa có,0,,
41,xesh,5555,lap1,2000,Chưa có,Chưa có,0,,
